Displacement (mm),Load (kN),Engineering Stress (GPa)
0.381847,1.76375,0.355600341
0.38304,1.76979,0.356818102
0.384745,1.77114,0.357090283
0.386108,1.77248,0.357360449
0.387814,1.77382,0.357630614
0.389178,1.77651,0.358172962
0.390882,1.77919,0.358713293
0.392586,1.77986,0.358848375
0.39378,1.7812,0.359118541
0.395825,1.7859,0.360066137
0.39753,1.78791,0.360471385
0.399235,1.78859,0.360608484
0.400769,1.7906,0.361013732
0.402643,1.7953,0.361961328
0.404689,1.79597,0.36209641
0.405883,1.79664,0.362231493
0.407247,1.79932,0.362771824
0.408951,1.80469,0.363854502
0.410486,1.80536,0.363989585
0.41219,1.80536,0.363989585
0.414066,1.81006,0.364937181
0.41611,1.8114,0.365207346
0.418156,1.81208,0.365344445
0.41952,1.81275,0.365479528
0.420032,1.81677,0.366290025
0.422759,1.82013,0.366967455
0.424805,1.82214,0.367372703
0.426169,1.82147,0.36723762
0.427703,1.82348,0.367642868
0.429577,1.82885,0.368725547
0.431453,1.83154,0.369267894
0.433328,1.83221,0.369402977
0.435032,1.83422,0.369808225
0.436226,1.83489,0.369943308
0.438612,1.83691,0.370350572
0.439806,1.83892,0.37075582
0.442192,1.84161,0.371298168
0.443215,1.84295,0.371568333
0.444749,1.84496,0.371973582
0.446455,1.84563,0.372108664
0.448159,1.84765,0.372515929
0.450205,1.85302,0.373598607
0.451909,1.85369,0.37373369
0.453955,1.85302,0.373598607
0.455148,1.85503,0.374003855
0.457876,1.86241,0.375491782
0.458386,1.8604,0.375086534
0.45958,1.86174,0.375356699
0.461796,1.86577,0.376169212
0.4635,1.86711,0.376439377
0.465717,1.86711,0.376439377
0.467763,1.86845,0.376709543
0.468956,1.87046,0.377114791
0.470491,1.87449,0.377927304
0.472707,1.87651,0.378334568
0.473387,1.87583,0.37819747
0.475093,1.87919,0.3788749
0.476797,1.88322,0.379687412
0.479184,1.88322,0.379687412
0.480718,1.88255,0.37955233
0.482082,1.88523,0.380092661
0.484128,1.88926,0.380905173
0.48532,1.88859,0.380770091
0.487196,1.88926,0.380905173
0.4889,1.89261,0.381580587
0.490605,1.89463,0.381987852
0.49231,1.89731,0.382528183
0.493163,1.89798,0.382663265
0.495549,1.90268,0.383610861
0.497595,1.90335,0.383745944
0.498617,1.90335,0.383745944
0.500833,1.90536,0.384151192
0.502538,1.90805,0.384693539
0.504754,1.9114,0.385368953
0.506118,1.91006,0.385098788
0.507822,1.9114,0.385368953
0.509186,1.91409,0.3859113
0.51038,1.91677,0.386451631
0.512595,1.91744,0.386586714
0.513959,1.91946,0.386993979
0.516175,1.92013,0.387129061
0.517539,1.92281,0.387669392
0.519073,1.92348,0.387804475
0.520777,1.92483,0.388076657
0.522312,1.92885,0.388887153
0.523846,1.9302,0.389159335
0.526233,1.9302,0.389159335
0.528108,1.93087,0.389294418
0.529812,1.93355,0.389834749
0.531346,1.93758,0.390647262
0.533052,1.93691,0.390512179
0.534244,1.93758,0.390647262
0.53612,1.94295,0.39172994
0.538336,1.94429,0.392000106
0.540041,1.94362,0.391865023
